id;lastname;firstname;patronymic;phone;birthplace;birthdate;gender
'd1bc5b50-0870-4747-bad7-6203cf4c5968';'Иванов';'Васийлий';'Петрович';'+7(910) 910-05-11';'Россия, г.Краснодар';'1978-12-09';'M'
'baf4085b-c3e0-4b37-a4a6-908dd9a44cfa';'Петрова';'Светлана';'Васильевна';'+7(903) 812-12-03';'г.Москва';'1983-07-14';'F'
'39d7a60f-14f8-49c0-8bf4-68e8e2964d20';'Сироткин';'Петр';'Николаевич';'+7(905) 716-50-06';'г.Москва';'1990-05-09';'M'
'7a1bf420-d0a2-4446-9e66-d7bd07e720df';'Орлов';'Антон';'Сергеевич';'+7(915) 396-00-46';'г.Воронеж';'1979-03-21';'M'
'bb29f27c-6375-416d-9e01-ff0ddf70595c';'Одинцова';'Мария';'Сергеевна';'+7(978) 970-13-50';'Россия';'1982-09-13';'F'
'53d42971-0084-40ac-ad99-e6436a206813';'Круглов';'Андрей';'Васильевич';'+7(918) 255-49-47';'Россия';'1988-05-14';'M'
'a8ac829e-2e32-4406-9449-dc95656fa44a';'Яндимиров';'Михаил';'Аркадьевич';'+7(934) 025-75-04';'г.Иваново';'1993-12-06';'M'
'47a368e7-332c-4203-a670-afe5dee5c90c';'Дементьева';'Евгения';'Дмитриевна';'+7(915) 102-39-60';'г.Пермь';'1997-04-08';'F'
'b2fac060-6264-428d-9d5b-4124abef0619';'Несиоловская';'Анастасия';'Васильевна';'+7(920) 978-06-63';'пос.Октябрьский, Воронежской обл.';'1988-11-03';'F'
'6596f8ef-074f-41bf-9c71-1f5a72e5ac6a';'Морозов';'Иван';'Иванович';'+7(903) 915-50-25';'дер. Васильки';'1976-09-14';'M'
'68768a83-e8ba-4002-9b14-87cf30873409';'Лапина';'Светлана';'Игоревна';'+7(910) 810-19-50';'г.Ярославль';'1977-11-07';'F'
'f1b91bc4-ad39-468c-8d5c-c97bfdfc8cf9';'Демин';'Илья';'Николаевич';'+7(920) 356-34-16';'г.Рыбинск';'2000-07-31';'M'

